Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Speak,Chrome 120.0.0.0,,,2024-01-12 14:36:09,2024-01-12 14:40:14,4m - 5.322s,FAILED
,,,,,,,
Test Cases/Senior_TestCases/TC02_CreateProfile_Speak,Chrome 120.0.0.0,,,2024-01-12 14:36:09,2024-01-12 14:38:24,2m - 15.040s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-12 14:36:09,2024-01-12 14:36:16,7.168s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 10)",Chrome 120.0.0.0,,,2024-01-12 14:36:16,2024-01-12 14:36:21,4.815s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 10)",Chrome 120.0.0.0,,,2024-01-12 14:36:21,2024-01-12 14:36:21,0.120s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""), 67)",Chrome 120.0.0.0,,,2024-01-12 14:36:21,2024-01-12 14:37:03,41.658s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""))",Chrome 120.0.0.0,,,2024-01-12 14:37:03,2024-01-12 14:37:03,0.124s,PASSED
try,Chrome 120.0.0.0,,,2024-01-12 14:37:03,2024-01-12 14:37:21,17.371s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Stop""))",Chrome 120.0.0.0,,,2024-01-12 14:37:21,2024-01-12 14:37:21,0.087s,PASSED
"scrollToElement(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 120.0.0.0,,,2024-01-12 14:37:21,2024-01-12 14:37:21,0.069s,PASSED
