Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Speak,Chrome 120.0.0.0,,,2024-01-19 13:07:53,2024-01-19 13:12:16,4m - 22.442s,FAILED
,,,,,,,
Test Cases/Senior_TestCases/TC02_CreateProfile_Speak,Chrome 120.0.0.0,,,2024-01-19 13:07:54,2024-01-19 13:10:10,2m - 16.499s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-19 13:07:54,2024-01-19 13:08:01,7.222s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 10)",Chrome 120.0.0.0,,,2024-01-19 13:08:01,2024-01-19 13:08:09,7.516s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 10)",Chrome 120.0.0.0,,,2024-01-19 13:08:09,2024-01-19 13:08:09,0.076s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""), 67)",Chrome 120.0.0.0,,,2024-01-19 13:08:09,2024-01-19 13:08:50,41.062s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""))",Chrome 120.0.0.0,,,2024-01-19 13:08:50,2024-01-19 13:08:50,0.124s,PASSED
try,Chrome 120.0.0.0,,,2024-01-19 13:08:50,2024-01-19 13:09:08,17.374s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Stop""))",Chrome 120.0.0.0,,,2024-01-19 13:09:08,2024-01-19 13:09:08,0.082s,PASSED
"scrollToElement(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 120.0.0.0,,,2024-01-19 13:09:08,2024-01-19 13:09:08,0.081s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 60)",Chrome 120.0.0.0,,,2024-01-19 13:09:08,2024-01-19 13:09:23,15.161s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 120.0.0.0,,,2024-01-19 13:09:23,2024-01-19 13:09:23,0.099s,PASSED
delay(20),Chrome 120.0.0.0,,,2024-01-19 13:09:23,2024-01-19 13:09:43,20.022s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/txt_1-2 minutes""), 180)",Chrome 120.0.0.0,,,2024-01-19 13:09:43,2024-01-19 13:09:43,0.081s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 13:09:43,2024-01-19 13:09:43,0.065s,PASSED
