Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Speak,Chrome 120.0.0.0,,,2024-01-19 12:46:34,2024-01-19 12:51:04,4m - 30.109s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC02_CreateProfile_Speak,Chrome 120.0.0.0,,,2024-01-19 12:46:34,2024-01-19 12:48:49,2m - 14.781s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-19 12:46:35,2024-01-19 12:46:43,7.602s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 10)",Chrome 120.0.0.0,,,2024-01-19 12:46:43,2024-01-19 12:46:48,5.411s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 10)",Chrome 120.0.0.0,,,2024-01-19 12:46:48,2024-01-19 12:46:48,0.059s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""), 67)",Chrome 120.0.0.0,,,2024-01-19 12:46:48,2024-01-19 12:47:29,41.065s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""))",Chrome 120.0.0.0,,,2024-01-19 12:47:29,2024-01-19 12:47:29,0.125s,PASSED
try,Chrome 120.0.0.0,,,2024-01-19 12:47:29,2024-01-19 12:47:47,17.353s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Stop""))",Chrome 120.0.0.0,,,2024-01-19 12:47:47,2024-01-19 12:47:47,0.085s,PASSED
"scrollToElement(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 120.0.0.0,,,2024-01-19 12:47:47,2024-01-19 12:47:47,0.085s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 60)",Chrome 120.0.0.0,,,2024-01-19 12:47:47,2024-01-19 12:48:02,15.104s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 120.0.0.0,,,2024-01-19 12:48:02,2024-01-19 12:48:02,0.081s,PASSED
delay(20),Chrome 120.0.0.0,,,2024-01-19 12:48:02,2024-01-19 12:48:22,20.021s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/txt_1-2 minutes""), 180)",Chrome 120.0.0.0,,,2024-01-19 12:48:22,2024-01-19 12:48:22,0.069s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 12:48:22,2024-01-19 12:48:22,0.058s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 120.0.0.0,,,2024-01-19 12:48:22,2024-01-19 12:48:22,0.054s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 12:48:22,2024-01-19 12:48:22,0.056s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 120.0.0.0,,,2024-01-19 12:48:22,2024-01-19 12:48:22,0.002s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 12:48:22,2024-01-19 12:48:22,0.055s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 120.0.0.0,,,2024-01-19 12:48:22,2024-01-19 12:48:22,0.002s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 120.0.0.0,,,2024-01-19 12:48:22,2024-01-19 12:48:22,0.058s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 120.0.0.0,,,2024-01-19 12:48:22,2024-01-19 12:48:22,0.002s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""), 65)",Chrome 120.0.0.0,,,2024-01-19 12:48:22,2024-01-19 12:48:22,0.051s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""))",Chrome 120.0.0.0,,,2024-01-19 12:48:22,2024-01-19 12:48:25,2.202s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/Clock_categoryToCalender""), 10)",Chrome 120.0.0.0,,,2024-01-19 12:48:25,2024-01-19 12:48:26,1.653s,PASSED
"scrollToElement(findTestObject(""Calendar_page/Input_Start_Date""), 0)",Chrome 120.0.0.0,,,2024-01-19 12:48:26,2024-01-19 12:48:26,0.049s,PASSED
"click(findTestObject(""Calendar_page/Input_Start_Date""))",Chrome 120.0.0.0,,,2024-01-19 12:48:26,2024-01-19 12:48:26,0.111s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-19 12:48:26,2024-01-19 12:48:29,3.013s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_20""))",Chrome 120.0.0.0,,,2024-01-19 12:48:29,2024-01-19 12:48:30,0.086s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-19 12:48:30,2024-01-19 12:48:33,3.020s,PASSED
"click(findTestObject(""Calendar_page/Input_Busy_Days""))",Chrome 120.0.0.0,,,2024-01-19 12:48:33,2024-01-19 12:48:33,0.111s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_23""))",Chrome 120.0.0.0,,,2024-01-19 12:48:33,2024-01-19 12:48:33,0.111s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 12:48:33,2024-01-19 12:48:35,2.009s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_24""))",Chrome 120.0.0.0,,,2024-01-19 12:48:35,2024-01-19 12:48:35,0.136s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 12:48:35,2024-01-19 12:48:37,2.015s,PASSED
"click(findTestObject(""Calendar_page/div_day_Column""))",Chrome 120.0.0.0,,,2024-01-19 12:48:37,2024-01-19 12:48:37,0.092s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_From""), ""01:30 PM"", false)",Chrome 120.0.0.0,,,2024-01-19 12:48:37,2024-01-19 12:48:37,0.166s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 12:48:37,2024-01-19 12:48:39,2.010s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_To""), ""04:30 PM"", false)",Chrome 120.0.0.0,,,2024-01-19 12:48:39,2024-01-19 12:48:39,0.111s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 12:48:39,2024-01-19 12:48:41,2.020s,PASSED
"click(findTestObject(""Calendar_page/button_Save""))",Chrome 120.0.0.0,,,2024-01-19 12:48:41,2024-01-19 12:48:41,0.119s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 12:48:41,2024-01-19 12:48:43,2.017s,PASSED
"click(findTestObject(""Calendar_page/Button_Next (1)""))",Chrome 120.0.0.0,,,2024-01-19 12:48:43,2024-01-19 12:48:44,0.095s,PASSED
delay(3),Chrome 120.0.0.0,,,2024-01-19 12:48:44,2024-01-19 12:48:47,3.009s,PASSED
"click(findTestObject(""Calendar_page/button_Ok""))",Chrome 120.0.0.0,,,2024-01-19 12:48:47,2024-01-19 12:48:47,0.112s,PASSED
delay(2),Chrome 120.0.0.0,,,2024-01-19 12:48:47,2024-01-19 12:48:49,2.020s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-19 12:48:49,2024-01-19 12:48:49,0.516s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC05_ReRecord_Speak,Chrome 120.0.0.0,,,2024-01-19 12:48:49,2024-01-19 12:51:04,2m - 14.862s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Sign_In""), [""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-19 12:48:50,2024-01-19 12:48:56,5.886s,PASSED
delay(5),Chrome 120.0.0.0,,,2024-01-19 12:48:56,2024-01-19 12:49:01,5.009s,PASSED
"scrollToElement(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""), 0)",Chrome 120.0.0.0,,,2024-01-19 12:49:01,2024-01-19 12:49:01,0.092s,PASSED
"click(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""))",Chrome 120.0.0.0,,,2024-01-19 12:49:01,2024-01-19 12:49:03,2.200s,PASSED
"click(findTestObject(""Category_View_Page/Category_View_Page_Objects/btn_Proceed_ReRecord""))",Chrome 120.0.0.0,,,2024-01-19 12:49:03,2024-01-19 12:49:05,2.168s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""), 67)",Chrome 120.0.0.0,,,2024-01-19 12:49:05,2024-01-19 12:49:46,41.332s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""))",Chrome 120.0.0.0,,,2024-01-19 12:49:46,2024-01-19 12:49:47,0.110s,PASSED
try,Chrome 120.0.0.0,,,2024-01-19 12:49:47,2024-01-19 12:50:04,17.218s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Stop""))",Chrome 120.0.0.0,,,2024-01-19 12:50:04,2024-01-19 12:50:04,0.087s,PASSED
delay(20),Chrome 120.0.0.0,,,2024-01-19 12:50:04,2024-01-19 12:50:24,20.003s,PASSED
