Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Speak,Chrome 120.0.0.0,,,2024-01-12 14:45:02,2024-01-12 14:47:13,2m - 10.550s,FAILED
,,,,,,,
Test Cases/Senior_TestCases/TC05_ReRecord_Speak,Chrome 120.0.0.0,,,2024-01-12 14:45:02,2024-01-12 14:47:08,2m - 5.340s,FAILED
"callTestCase(findTestCase(""Common_TestCases/Sign_In""), [""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-12 14:45:03,2024-01-12 14:45:09,6.420s,PASSED
delay(5),Chrome 120.0.0.0,,,2024-01-12 14:45:09,2024-01-12 14:45:14,5.018s,PASSED
"scrollToElement(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""), 0)",Chrome 120.0.0.0,,,2024-01-12 14:45:14,2024-01-12 14:45:14,0.129s,PASSED
"click(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""))",Chrome 120.0.0.0,,,2024-01-12 14:45:14,2024-01-12 14:45:25,10.548s,PASSED
"click(findTestObject(""Category_View_Page/Category_View_Page_Objects/btn_Proceed_ReRecord""))",Chrome 120.0.0.0,,,2024-01-12 14:45:25,2024-01-12 14:45:27,2.278s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""), 67)",Chrome 120.0.0.0,,,2024-01-12 14:45:27,2024-01-12 14:46:09,41.807s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""))",Chrome 120.0.0.0,,,2024-01-12 14:46:09,2024-01-12 14:46:09,0.081s,PASSED
try,Chrome 120.0.0.0,,,2024-01-12 14:46:09,2024-01-12 14:46:26,17.284s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Stop""))",Chrome 120.0.0.0,,,2024-01-12 14:46:26,2024-01-12 14:46:26,0.075s,PASSED
delay(10),Chrome 120.0.0.0,,,2024-01-12 14:46:26,2024-01-12 14:46:36,10.014s,PASSED
"scrollToElement(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 120.0.0.0,,,2024-01-12 14:46:36,2024-01-12 14:47:08,31.236s,FAILED
,,,,,,,
Test Cases/Senior_TestCases/TC02_CreateProfile_Speak,Chrome 120.0.0.0,,,2024-01-12 14:47:08,2024-01-12 14:47:13,4.898s,FAILED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-12 14:47:08,2024-01-12 14:47:13,4.675s,FAILED
