Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Speak,Chrome 121.0.0.0,,,12-02-2024 11:36:07,12-02-2024 11:39:28,3m - 20.762s,FAILED
,,,,,,,
Test Cases/Senior_TestCases/TC05_ReRecord_Speak,Chrome 121.0.0.0,,,12-02-2024 11:36:07,12-02-2024 11:39:21,3m - 13.323s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Senior_Sign_In""), [""email"":"""", ""password"":""""], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,12-02-2024 11:36:08,12-02-2024 11:36:15,7.363s,PASSED
delay(5),Chrome 121.0.0.0,,,12-02-2024 11:36:15,12-02-2024 11:36:20,5.026s,PASSED
"scrollToElement(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""), 0)",Chrome 121.0.0.0,,,12-02-2024 11:36:20,12-02-2024 11:36:20,0.080s,PASSED
"click(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""))",Chrome 121.0.0.0,,,12-02-2024 11:36:20,12-02-2024 11:36:22,2.236s,PASSED
"click(findTestObject(""Category_View_Page/Category_View_Page_Objects/btn_Proceed_ReRecord""))",Chrome 121.0.0.0,,,12-02-2024 11:36:22,12-02-2024 11:36:25,2.201s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""), 67)",Chrome 121.0.0.0,,,12-02-2024 11:36:25,12-02-2024 11:37:17,51.907s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""))",Chrome 121.0.0.0,,,12-02-2024 11:37:17,12-02-2024 11:37:17,0.101s,PASSED
try,Chrome 121.0.0.0,,,12-02-2024 11:37:17,12-02-2024 11:38:17,1m - 0.788s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Stop""))",Chrome 121.0.0.0,,,12-02-2024 11:38:17,12-02-2024 11:38:18,0.085s,PASSED
delay(20),Chrome 121.0.0.0,,,12-02-2024 11:38:18,12-02-2024 11:38:38,20.017s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 121.0.0.0,,,12-02-2024 11:38:38,12-02-2024 11:38:38,0.081s,PASSED
delay(20),Chrome 121.0.0.0,,,12-02-2024 11:38:38,12-02-2024 11:38:58,20.003s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/txt_1-2 minutes""), 180)",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.069s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.062s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.056s,PASSED
"FamilyAndCommunity = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Family_And_Community_Involvement""), ""value"")",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.050s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""FAMILYANDCOMMUNITY"", FamilyAndCommunity, FamilyAndCommunityNew)",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.002s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.051s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.002s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.050s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.002s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.048s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.004s,PASSED
"waitForElementClickable(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Next""), 65)",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:38:58,0.059s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""))",Chrome 121.0.0.0,,,12-02-2024 11:38:58,12-02-2024 11:39:00,2.218s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/Clock_categoryToCalender""), 10)",Chrome 121.0.0.0,,,12-02-2024 11:39:00,12-02-2024 11:39:01,1.096s,PASSED
"scrollToElement(findTestObject(""Calendar_page/Input_Start_Date""), 0)",Chrome 121.0.0.0,,,12-02-2024 11:39:01,12-02-2024 11:39:01,0.049s,PASSED
"click(findTestObject(""Calendar_page/Input_Busy_Days""))",Chrome 121.0.0.0,,,12-02-2024 11:39:01,12-02-2024 11:39:02,0.097s,PASSED
"click(findTestObject(""Calendar_page/busyDates/JanuaryBusyDate/div_27""))",Chrome 121.0.0.0,,,12-02-2024 11:39:02,12-02-2024 11:39:02,0.001s,NOT_RUN
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:39:02,12-02-2024 11:39:02,0.001s,NOT_RUN
"click(findTestObject(""Calendar_page/busyDates/JanuaryBusyDate/div_27""))",Chrome 121.0.0.0,,,12-02-2024 11:39:02,12-02-2024 11:39:02,0.001s,NOT_RUN
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:39:02,12-02-2024 11:39:04,2.017s,PASSED
"click(findTestObject(""Calendar_page/div_day_Column""))",Chrome 121.0.0.0,,,12-02-2024 11:39:04,12-02-2024 11:39:04,0.100s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_From""), ""05:30 PM"", false)",Chrome 121.0.0.0,,,12-02-2024 11:39:04,12-02-2024 11:39:04,0.140s,PASSED
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:39:04,12-02-2024 11:39:06,2.014s,PASSED
"selectOptionByLabel(findTestObject(""Calendar_page/Select_Available_To""), ""06:00 PM"", false)",Chrome 121.0.0.0,,,12-02-2024 11:39:06,12-02-2024 11:39:06,0.114s,PASSED
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:39:06,12-02-2024 11:39:08,2.017s,PASSED
"click(findTestObject(""Calendar_page/button_Save""))",Chrome 121.0.0.0,,,12-02-2024 11:39:08,12-02-2024 11:39:08,0.111s,PASSED
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:39:08,12-02-2024 11:39:10,2.019s,PASSED
"click(findTestObject(""Calendar_page/Button_Next (1)""))",Chrome 121.0.0.0,,,12-02-2024 11:39:10,12-02-2024 11:39:10,0.089s,PASSED
delay(3),Chrome 121.0.0.0,,,12-02-2024 11:39:10,12-02-2024 11:39:13,3.005s,PASSED
"click(findTestObject(""Calendar_page/button_Ok""))",Chrome 121.0.0.0,,,12-02-2024 11:39:13,12-02-2024 11:39:13,0.108s,PASSED
delay(2),Chrome 121.0.0.0,,,12-02-2024 11:39:13,12-02-2024 11:39:15,2.011s,PASSED
"callTestCase(findTestCase(""Senior_TestCases/TC06_SeniorDemographic""), [""UserName"":"""", ""Email"":Email, ""EducationNew"":EducationNew, ""FamilyAndCommunityNew"":FamilyAndCommunityNew, ""HobbiesNew"":HobbiesNew, ... ], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,12-02-2024 11:39:15,12-02-2024 11:39:21,5.193s,PASSED
,,,,,,,
Test Cases/Senior_TestCases/TC02_CreateProfile_Speak,Chrome 121.0.0.0,,,12-02-2024 11:39:21,12-02-2024 11:39:28,6.831s,FAILED
"callTestCase(findTestCase(""Common_TestCases/Senior_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,12-02-2024 11:39:21,12-02-2024 11:39:28,6.241s,FAILED
