Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Companion_Speak,Chrome 121.0.0.0,,,07-02-2024 15:52:50,07-02-2024 15:53:28,38.326s,FAILED
,,,,,,,
Test Cases/Companion_TestCases/TC09_ReRecord_Speak,Chrome 121.0.0.0,,,07-02-2024 15:52:50,07-02-2024 15:53:05,14.212s,FAILED
"callTestCase(findTestCase(""Common_TestCases/Companion_Sign_In""), [""email"":"""", ""password"":""""], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,07-02-2024 15:52:51,07-02-2024 15:52:59,7.996s,PASSED
delay(5),Chrome 121.0.0.0,,,07-02-2024 15:52:59,07-02-2024 15:53:04,5.027s,PASSED
"scrollToElement(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""), 0)",Chrome 121.0.0.0,,,07-02-2024 15:53:04,07-02-2024 15:53:04,0.110s,PASSED
"click(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""))",Chrome 121.0.0.0,,,07-02-2024 15:53:04,07-02-2024 15:53:05,0.525s,FAILED
,,,,,,,
Test Cases/Companion_TestCases/TC08_CreateProfile_Speak,Chrome 121.0.0.0,,,07-02-2024 15:53:05,07-02-2024 15:53:28,23.456s,FAILED
"callTestCase(findTestCase(""Common_TestCases/Companion_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,07-02-2024 15:53:06,07-02-2024 15:53:17,10.980s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 10)",Chrome 121.0.0.0,,,07-02-2024 15:53:17,07-02-2024 15:53:28,11.886s,FAILED
