Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Speak,Chrome 121.0.0.0,,,06-02-2024 14:41:49,06-02-2024 14:44:57,3m - 8.884s,FAILED
,,,,,,,
Test Cases/Senior_TestCases/TC05_ReRecord_Speak,Chrome 121.0.0.0,,,06-02-2024 14:41:49,06-02-2024 14:44:38,2m - 49.558s,FAILED
"callTestCase(findTestCase(""Common_TestCases/Sign_In""), [""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,06-02-2024 14:41:49,06-02-2024 14:41:57,7.152s,PASSED
delay(5),Chrome 121.0.0.0,,,06-02-2024 14:41:57,06-02-2024 14:42:02,5.022s,PASSED
"scrollToElement(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""), 0)",Chrome 121.0.0.0,,,06-02-2024 14:42:02,06-02-2024 14:42:02,0.110s,PASSED
"click(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Re-record""))",Chrome 121.0.0.0,,,06-02-2024 14:42:02,06-02-2024 14:42:04,2.258s,PASSED
"click(findTestObject(""Category_View_Page/Category_View_Page_Objects/btn_Proceed_ReRecord""))",Chrome 121.0.0.0,,,06-02-2024 14:42:04,06-02-2024 14:42:06,2.195s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""), 67)",Chrome 121.0.0.0,,,06-02-2024 14:42:06,06-02-2024 14:42:55,48.789s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Click_Record""))",Chrome 121.0.0.0,,,06-02-2024 14:42:55,06-02-2024 14:42:55,0.131s,PASSED
try,Chrome 121.0.0.0,,,06-02-2024 14:42:55,06-02-2024 14:43:12,17.353s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Stop""))",Chrome 121.0.0.0,,,06-02-2024 14:43:12,06-02-2024 14:43:12,0.088s,PASSED
delay(20),Chrome 121.0.0.0,,,06-02-2024 14:43:12,06-02-2024 14:43:32,20.006s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 121.0.0.0,,,06-02-2024 14:43:32,06-02-2024 14:43:33,0.083s,PASSED
delay(20),Chrome 121.0.0.0,,,06-02-2024 14:43:33,06-02-2024 14:43:53,20.018s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/txt_1-2 minutes""), 180)",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.073s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.059s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.058s,PASSED
"FamilyAndCommunity = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Family_And_Community_Involvement""), ""value"")",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.051s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""FAMILYANDCOMMUNITY"", FamilyAndCommunity, FamilyAndCommunityNew)",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.002s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.044s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.002s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.047s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.003s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.048s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.003s,PASSED
"waitForElementClickable(findTestObject(""Category_View_Page/Category_View_Page_Objects/button_Next""), 65)",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:53,0.058s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Next""))",Chrome 121.0.0.0,,,06-02-2024 14:43:53,06-02-2024 14:43:55,2.136s,PASSED
"waitForElementNotPresent(findTestObject(""WaitingPage/Waiting_Page/Clock_categoryToCalender""), 10)",Chrome 121.0.0.0,,,06-02-2024 14:43:55,06-02-2024 14:43:55,0.049s,PASSED
"scrollToElement(findTestObject(""Calendar_page/Input_Start_Date""), 0)",Chrome 121.0.0.0,,,06-02-2024 14:43:55,06-02-2024 14:44:00,4.583s,PASSED
"click(findTestObject(""Calendar_page/Input_Busy_Days""))",Chrome 121.0.0.0,,,06-02-2024 14:44:00,06-02-2024 14:44:02,2.173s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_27""))",Chrome 121.0.0.0,,,06-02-2024 14:44:02,06-02-2024 14:44:02,0.148s,PASSED
delay(2),Chrome 121.0.0.0,,,06-02-2024 14:44:02,06-02-2024 14:44:04,2.007s,PASSED
"click(findTestObject(""Calendar_page/startDate/JanuaryStartDates/div_27""))",Chrome 121.0.0.0,,,06-02-2024 14:44:04,06-02-2024 14:44:38,34.344s,FAILED
,,,,,,,
Test Cases/Senior_TestCases/TC02_CreateProfile_Speak,Chrome 121.0.0.0,,,06-02-2024 14:44:39,06-02-2024 14:44:57,18.838s,FAILED
